,Day,Google Trends
0,2020-01-01,0
1,2020-01-02,0
2,2020-01-03,0
3,2020-01-04,0
4,2020-01-05,0
5,2020-01-06,44
6,2020-01-07,44
7,2020-01-08,47
8,2020-01-09,0
9,2020-01-10,54
10,2020-01-11,0
11,2020-01-12,0
12,2020-01-13,0
13,2020-01-14,48
14,2020-01-15,0
15,2020-01-16,0
16,2020-01-17,57
17,2020-01-18,0
18,2020-01-19,0
19,2020-01-20,0
20,2020-01-21,0
21,2020-01-22,0
22,2020-01-23,0
23,2020-01-24,0
24,2020-01-25,0
25,2020-01-26,0
26,2020-01-27,0
27,2020-01-28,0
28,2020-01-29,0
29,2020-01-30,0
30,2020-01-31,0
31,2020-02-01,0
32,2020-02-02,0
33,2020-02-03,0
34,2020-02-04,0
35,2020-02-05,43
36,2020-02-06,53
37,2020-02-07,0
38,2020-02-08,0
39,2020-02-09,0
40,2020-02-10,0
41,2020-02-11,0
42,2020-02-12,51
43,2020-02-13,69
44,2020-02-14,47
45,2020-02-15,55
46,2020-02-16,0
47,2020-02-17,0
48,2020-02-18,0
49,2020-02-19,0
50,2020-02-20,47
51,2020-02-21,0
52,2020-02-22,0
53,2020-02-23,0
54,2020-02-24,0
55,2020-02-25,0
56,2020-02-26,0
57,2020-02-27,44
58,2020-02-28,0
59,2020-02-29,0
60,2020-03-01,0
61,2020-03-02,0
62,2020-03-03,0
63,2020-03-04,0
64,2020-03-05,0
65,2020-03-06,0
66,2020-03-07,0
67,2020-03-08,0
68,2020-03-09,0
69,2020-03-10,0
70,2020-03-11,0
71,2020-03-12,47
72,2020-03-13,0
73,2020-03-14,0
74,2020-03-15,0
75,2020-03-16,0
76,2020-03-17,0
77,2020-03-18,0
78,2020-03-19,0
79,2020-03-20,0
80,2020-03-21,0
81,2020-03-22,71
82,2020-03-23,0
83,2020-03-24,0
84,2020-03-25,62
85,2020-03-26,0
86,2020-03-27,0
87,2020-03-28,0
88,2020-03-29,0
89,2020-03-30,64
90,2020-03-31,51
91,2020-04-01,0
92,2020-04-02,0
93,2020-04-03,55
94,2020-04-04,0
95,2020-04-05,0
96,2020-04-06,57
97,2020-04-07,63
98,2020-04-08,0
99,2020-04-09,56
100,2020-04-10,0
101,2020-04-11,0
102,2020-04-12,0
103,2020-04-13,73
104,2020-04-14,0
105,2020-04-15,53
106,2020-04-16,100
107,2020-04-17,71
108,2020-04-18,0
109,2020-04-19,0
110,2020-04-20,0
111,2020-04-21,0
112,2020-04-22,0
113,2020-04-23,53
114,2020-04-24,86
115,2020-04-25,0
116,2020-04-26,0
117,2020-04-27,61
118,2020-04-28,0
119,2020-04-29,0
120,2020-04-30,51
121,2020-05-01,64
122,2020-05-02,0
123,2020-05-03,55
124,2020-05-04,63
125,2020-05-05,0
126,2020-05-06,59
127,2020-05-07,0
128,2020-05-08,0
129,2020-05-09,0
130,2020-05-10,0
131,2020-05-11,0
132,2020-05-12,57
133,2020-05-13,0
134,2020-05-14,0
135,2020-05-15,0
136,2020-05-16,0
137,2020-05-17,0
138,2020-05-18,56
139,2020-05-19,49
140,2020-05-20,0
141,2020-05-21,0
142,2020-05-22,51
143,2020-05-23,62
144,2020-05-24,0
145,2020-05-25,0
146,2020-05-26,66
147,2020-05-27,55
148,2020-05-28,0
149,2020-05-29,69
150,2020-05-30,0
151,2020-05-31,0
152,2020-06-01,0
153,2020-06-02,65
154,2020-06-03,55
155,2020-06-04,50
156,2020-06-05,0
157,2020-06-06,0
158,2020-06-07,53
159,2020-06-08,0
160,2020-06-09,60
161,2020-06-10,0
162,2020-06-11,0
163,2020-06-12,80
164,2020-06-13,0
165,2020-06-14,58
166,2020-06-15,0
167,2020-06-16,58
168,2020-06-17,59
169,2020-06-18,58
170,2020-06-19,0
171,2020-06-20,56
172,2020-06-21,0
173,2020-06-22,55
174,2020-06-23,65
175,2020-06-24,0
176,2020-06-25,69
177,2020-06-26,61
178,2020-06-27,81
179,2020-06-28,0
180,2020-06-29,63
181,2020-06-30,51
182,2020-07-01,67
183,2020-07-02,0
184,2020-07-03,0
185,2020-07-04,0
186,2020-07-05,0
187,2020-07-06,58
188,2020-07-07,73
189,2020-07-08,0
190,2020-07-09,0
191,2020-07-10,0
192,2020-07-11,0
193,2020-07-12,97
194,2020-07-13,74
195,2020-07-14,64
