Date,Well-Milled Low,Well-Milled High,Well-Milled Avg
2020-01-01,32.0,44.0,38.0
2020-01-02,32.0,44.0,38.0
2020-01-03,32.0,49.0,40.5
2020-01-04,32.0,44.0,38.0
2020-01-05,32.0,44.0,38.0
2020-01-06,32.0,44.0,38.0
2020-01-07,32.0,44.0,38.0
2020-01-08,32.0,44.0,38.0
2020-01-09,32.0,44.0,38.0
2020-01-10,32.0,44.0,38.0
2020-01-11,32.0,44.0,38.0
2020-01-12,32.0,44.0,38.0
2020-01-13,32.0,44.0,38.0
2020-01-14,32.0,44.0,38.0
2020-01-15,32.0,44.0,38.0
2020-01-16,32.0,44.0,38.0
2020-01-17,32.0,44.0,38.0
2020-01-18,32.0,44.0,38.0
2020-01-19,32.0,44.0,38.0
2020-01-20,32.0,44.0,38.0
2020-01-21,32.0,44.0,38.0
2020-01-22,32.0,44.0,38.0
2020-01-23,32.0,44.0,38.0
2020-01-24,32.0,44.0,38.0
2020-01-25,32.0,46.0,39.0
2020-01-26,32.0,46.0,39.0
2020-01-27,32.0,46.0,39.0
2020-01-28,32.0,46.0,39.0
2020-01-29,30.0,46.0,38.0
2020-01-30,32.0,46.0,39.0
2020-01-31,30.0,46.0,38.0
2020-02-01,32.0,46.0,39.0
2020-02-02,32.0,46.0,39.0
2020-02-03,32.0,46.0,39.0
2020-02-04,32.0,46.0,39.0
2020-02-05,32.0,46.0,39.0
2020-02-06,32.0,46.0,39.0
2020-02-07,32.0,46.0,39.0
2020-02-08,34.0,44.0,39.0
2020-02-09,33.0,44.0,38.5
2020-02-10,32.0,44.0,38.0
2020-02-11,32.0,46.0,39.0
2020-02-12,32.0,46.0,39.0
2020-02-13,32.0,46.0,39.0
2020-02-14,32.0,44.0,38.0
2020-02-15,32.0,45.0,38.5
2020-02-16,32.0,45.5,38.75
2020-02-17,32.0,46.0,39.0
2020-02-18,32.0,46.0,39.0
2020-02-19,32.0,46.0,39.0
2020-02-20,32.0,46.0,39.0
2020-02-21,32.0,46.0,39.0
2020-02-22,32.0,44.0,38.0
2020-02-23,32.0,45.0,38.5
2020-02-24,32.0,46.0,39.0
2020-02-25,32.0,46.0,39.0
2020-02-26,32.0,46.0,39.0
2020-02-27,32.0,46.0,39.0
2020-02-28,32.0,46.0,39.0
2020-02-29,32.0,46.0,39.0
2020-03-01,32.0,46.0,39.0
2020-03-02,32.0,46.0,39.0
2020-03-03,32.0,46.0,39.0
2020-03-04,32.0,46.0,39.0
2020-03-05,32.0,46.0,39.0
2020-03-06,32.0,46.0,39.0
2020-03-07,32.0,49.0,40.5
2020-03-08,32.0,49.0,40.5
2020-03-09,32.0,49.0,40.5
2020-03-10,32.0,44.0,38.0
2020-03-11,32.0,44.0,38.0
2020-03-12,32.0,44.0,38.0
2020-03-13,32.0,44.0,38.0
2020-03-14,32.0,44.0,38.0
2020-03-15,32.0,44.0,38.0
2020-03-16,32.0,44.0,38.0
2020-03-17,33.5,43.5,38.5
2020-03-18,35.0,43.0,39.0
2020-03-19,32.0,44.0,38.0
2020-03-20,32.0,44.0,38.0
2020-03-21,32.0,44.0,38.0
2020-03-22,32.0,44.0,38.0
2020-03-23,32.0,44.0,38.0
2020-03-24,32.5,45.0,38.75
2020-03-25,33.0,46.0,39.5
2020-03-26,30.0,44.0,37.0
2020-03-27,33.0,44.0,38.5
2020-03-28,30.0,44.0,37.0
2020-03-29,30.0,44.0,37.0
2020-03-30,30.0,44.0,37.0
2020-03-31,35.0,44.0,39.5
2020-04-01,36.0,45.0,40.5
2020-04-02,35.0,45.0,40.0
2020-04-03,32.0,45.0,38.5
2020-04-04,35.0,45.0,40.0
2020-04-05,35.5,45.0,40.25
2020-04-06,36.0,45.0,40.5
2020-04-07,35.0,45.0,40.0
2020-04-08,35.166666666666664,45.0,40.08333333333333
2020-04-09,35.333333333333336,45.0,40.16666666666667
2020-04-10,35.5,45.0,40.25
2020-04-11,35.666666666666664,45.0,40.33333333333333
2020-04-12,35.833333333333336,45.0,40.41666666666667
2020-04-13,36.0,45.0,40.5
2020-04-14,35.95918367346939,44.97959183673469,40.46938775510204
2020-04-15,35.91836734693877,44.95918367346939,40.43877551020408
2020-04-16,35.87755102040816,44.93877551020408,40.40816326530612
2020-04-17,35.83673469387755,44.91836734693877,40.37755102040816
2020-04-18,35.795918367346935,44.89795918367347,40.3469387755102
2020-04-19,35.755102040816325,44.87755102040816,40.316326530612244
2020-04-20,35.714285714285715,44.857142857142854,40.285714285714285
2020-04-21,35.673469387755105,44.83673469387755,40.255102040816325
2020-04-22,35.63265306122449,44.816326530612244,40.224489795918366
2020-04-23,35.59183673469388,44.795918367346935,40.19387755102041
2020-04-24,35.55102040816327,44.775510204081634,40.163265306122454
2020-04-25,35.51020408163265,44.755102040816325,40.13265306122449
2020-04-26,35.46938775510204,44.734693877551024,40.102040816326536
2020-04-27,35.42857142857143,44.714285714285715,40.07142857142857
2020-04-28,35.38775510204081,44.69387755102041,40.04081632653061
2020-04-29,35.3469387755102,44.673469387755105,40.01020408163265
2020-04-30,35.30612244897959,44.6530612244898,39.9795918367347
2020-05-01,35.265306122448976,44.63265306122449,39.94897959183673
2020-05-02,35.224489795918366,44.61224489795919,39.91836734693878
2020-05-03,35.183673469387756,44.59183673469388,39.88775510204081
2020-05-04,35.142857142857146,44.57142857142857,39.85714285714286
2020-05-05,35.10204081632653,44.55102040816327,39.826530612244895
2020-05-06,35.06122448979592,44.53061224489796,39.79591836734694
2020-05-07,35.02040816326531,44.51020408163265,39.765306122448976
2020-05-08,34.97959183673469,44.48979591836735,39.734693877551024
2020-05-09,34.93877551020408,44.46938775510204,39.70408163265306
2020-05-10,34.89795918367347,44.44897959183673,39.673469387755105
2020-05-11,34.857142857142854,44.42857142857143,39.64285714285714
2020-05-12,34.816326530612244,44.40816326530612,39.61224489795919
2020-05-13,34.775510204081634,44.38775510204081,39.58163265306122
2020-05-14,34.734693877551024,44.36734693877551,39.55102040816327
2020-05-15,34.69387755102041,44.3469387755102,39.5204081632653
2020-05-16,34.6530612244898,44.326530612244895,39.48979591836735
2020-05-17,34.61224489795919,44.30612244897959,39.45918367346939
2020-05-18,34.57142857142857,44.285714285714285,39.42857142857143
2020-05-19,34.53061224489796,44.265306122448976,39.397959183673464
2020-05-20,34.48979591836735,44.244897959183675,39.36734693877551
2020-05-21,34.44897959183673,44.224489795918366,39.336734693877546
2020-05-22,34.40816326530612,44.204081632653065,39.30612244897959
2020-05-23,34.36734693877551,44.183673469387756,39.275510204081634
2020-05-24,34.326530612244895,44.16326530612245,39.244897959183675
2020-05-25,34.285714285714285,44.142857142857146,39.214285714285715
2020-05-26,34.244897959183675,44.12244897959184,39.183673469387756
2020-05-27,34.204081632653065,44.10204081632653,39.1530612244898
2020-05-28,34.16326530612245,44.08163265306123,39.12244897959184
2020-05-29,34.12244897959184,44.06122448979592,39.09183673469388
2020-05-30,34.08163265306123,44.04081632653061,39.06122448979592
