,actual,sarimax,residuals,lstm_correction,final_forecast
2025-09-11,57.0,57.0,0.20241598648693326,0.051678357881417725,57.0
2025-09-12,57.0,57.0,0.232062331284979,0.05139959963325502,57.0
2025-09-13,57.0,56.0,0.980971091945186,0.052858821445752824,56.0
2025-09-14,57.0,56.0,0.814103702817043,0.05245542691169902,56.0
2025-09-15,57.0,56.0,0.7166330067293245,0.05053007739453719,56.0
2025-09-16,57.0,56.0,0.6681872378732123,0.04970551374212384,56.0
2025-09-17,57.0,56.0,0.5570009664067186,0.04796011721599136,56.0
2025-09-18,57.0,56.0,0.7812846957283739,0.05221153172716697,56.0
2025-09-19,57.0,56.0,0.7529342187474342,0.05184398722908057,56.0
2025-09-20,57.0,56.0,1.4506933793991195,0.05132885311313551,56.0
2025-09-21,54.5,56.0,-1.2612847847815303,0.05478159030275975,56.0
2025-09-22,52.0,56.0,-3.9861687873330354,0.05369640582076585,56.0
2025-09-23,57.0,56.0,0.9302976241094072,0.050486740089711546,56.0
2025-09-24,57.0,56.0,0.7881660717145991,0.05019755591743014,56.0
2025-09-25,57.0,57.0,0.23585473147419123,0.031380480536370214,57.0
2025-09-26,52.0,57.0,-4.740037818063165,0.030007059615142495,57.0
2025-09-27,57.0,56.0,0.8689506077157958,0.03064214697982237,56.0
2025-09-28,57.0,56.0,0.9788641228131212,0.03428786417986274,56.0
2025-09-29,57.0,56.0,1.0739522020025234,0.030086939639845767,56.0
2025-09-30,57.0,56.0,0.5433482895289927,0.024193888552348497,56.0
2025-10-01,57.0,57.0,0.45293520320200287,0.03438845921685463,57.0
2025-10-02,57.0,56.0,0.6353154909249312,0.03100513890153067,56.0
2025-10-03,57.0,56.0,0.6122617983342735,0.026405586171927453,56.0
2025-10-04,57.0,56.0,1.1796570207422974,0.03216954261935712,56.0
2025-10-05,54.5,56.0,-1.2471120900395007,0.03779823383224823,56.0
2025-10-06,52.0,56.0,-3.6843758119217043,0.030699941522852825,56.0
2025-10-07,57.0,56.0,0.75648799342774,0.02968365195208378,56.0
2025-10-08,57.0,56.0,0.6409112037128963,0.03264629484499082,56.0
2025-10-09,57.0,57.0,0.12001520062182891,0.05511492656404293,57.0
2025-10-10,57.0,56.0,0.5901127886314512,0.056287635440705586,56.0
2025-10-11,57.0,56.0,0.6490221689684361,0.05707734821086419,56.0
2025-10-12,57.0,56.0,0.9898713668022836,0.05388127174914281,56.0
2025-10-13,57.0,56.0,1.3179724012807412,0.055801200591810485,56.0
