,actual,sarimax,residuals,lstm_correction,final_forecast
2025-09-11,38.0,38.0,-0.010863830362346505,-0.17117513596557465,38.0
2025-09-12,38.0,38.0,-0.037764146952447675,-0.17018148410396883,38.0
2025-09-13,38.0,38.0,0.05436606365264396,-0.1675083995742508,38.0
2025-09-14,38.0,38.0,0.49849870728510126,-0.1701287470585484,37.0
2025-09-15,38.0,37.0,1.071442863227098,-0.16388679046696453,37.0
2025-09-16,38.0,38.0,0.0921932654439459,-0.1736093321247747,38.0
2025-09-17,38.0,38.0,0.13176298217010896,-0.1701972210243916,38.0
2025-09-18,38.0,38.0,0.1678421189086876,-0.17398062654392277,38.0
2025-09-19,38.0,38.0,0.18530279074837352,-0.17397335586949225,38.0
2025-09-20,38.0,38.0,0.22972577665918692,-0.17040399052143584,38.0
2025-09-21,38.0,38.0,0.4292774461010538,-0.16492592169916342,37.0
2025-09-22,38.0,37.0,0.6074248220010006,-0.174036062993828,37.0
2025-09-23,38.0,38.0,0.256649538458646,-0.16817446369170597,38.0
2025-09-24,38.0,38.0,0.2803154264213106,-0.1661763606256521,38.0
2025-09-25,38.0,38.0,0.04373300632247634,-0.18074351419959633,38.0
2025-09-26,40.0,38.0,2.0799322592197598,-0.1721772908522503,38.0
2025-09-27,38.0,38.0,0.10570980192791524,-0.17162460548430758,38.0
2025-09-28,38.0,38.0,-0.03583000560222871,-0.1784795721778778,38.0
2025-09-29,38.0,38.0,-0.17890321925059993,-0.16817464391865755,38.0
2025-09-30,38.0,38.0,-0.16090490040124905,-0.17979316815462276,38.0
2025-10-01,38.0,38.0,-0.14434836128625506,-0.17226143283638962,38.0
2025-10-02,38.0,38.0,-0.11344533154137082,-0.1882074910248317,38.0
2025-10-03,38.0,38.0,-0.08662759637029183,-0.1802641107762195,38.0
2025-10-04,38.0,38.0,-0.06521046904293115,-0.17233954590809475,38.0
2025-10-05,38.0,38.0,-0.1073226534948617,-0.16437955380025038,38.0
2025-10-06,38.0,38.0,-0.15118216296438902,-0.18196461738291347,38.0
2025-10-07,36.0,38.0,-2.1358399882384234,-0.18054595890496294,38.0
2025-10-08,35.0,38.0,-3.121959958335516,-0.17168235562192535,38.0
2025-10-09,35.0,36.0,-0.7962640471300588,-0.1609797284874599,36.0
